Company,Job Title,Job Category,Job Location,Education,Discipline,Required Skills,Desired Skills,Years of Experience
Accenture,Federal - Data Scientist,Technical Solutions,Washington DC ,BS,Any,Power BI;Tableau;MicroStrategy;d3.js;Python,Communication Skills,1
Accenture,Data Scientist Specialist,Technical Solutions,San Diego CA,MS;PhD,Computer Science;Engineering discipline;Physics;Applied Mathematics;Economics,C;Java;SAS;Python,Communication Skills,1
Accenture,Healthcare Payer Data Scientist Consultant,Technical Solutions,Lexington KY,MS;PhD,Computer Science;Engineering discipline;Physics;Applied Mathematics;Economics,SQL;statistical analysis;data visualization;data cleansing,project management;Communication Skills,0
Accenture,Federal - Data Scientist,Technical Solutions,Suitland MD,BS,data science;business analytics,Tableau;Qlik;Shiny;SQL;Amazon;Hadoop;SAP,Communication Skills;presentation skills,3
Accenture,Cloud Data Scientist,Technical Solutions,San Francisco CA,MS;PhD,Any,Power BI;Tableau;MicroStrategy;d3.js;Python,Communication Skills,1
Accenture,Healthcare Payer Data Scientist Consultant,Technical Solutions,Tempe AZ,MS;PhD,Computer Science;Engineering discipline;Physics;Applied Mathematics;Economics,SQL;statistical analysis;data visualization;data cleansing,project management;Communication Skills,0
Accenture,Federal - Data Scientist,Technical Solutions,Alexandria VA ,MS,Any,Python;Java;C++;SQL;SAS;R,Spark;graph modeling,2
Accenture,Federal - Defense Data Scientist,Technical Solutions,Arlington VA ,MS,Any,statistical modeling;analytics techniques;predictive modeling,Interpersonal Skills;Communication Skills;cross functional,3
Accenture,Federal - Lead Data Scientist,Technical Solutions,Suitland MD,BS;BA;MS;MBA,Computer Science;Applied Mathematics,R;Python;SAS;quantitative analysis;statistical modeling,project management,3
Accenture,Federal -Experienced Data Scientist - SI,Technical Solutions,Washington DC ,BS,Any,Python;R;SAS;SQL;Hive;Hadoop,Git,4
Accenture,Federal -Experienced Data Scientist - SI ++,Technical Solutions,Washington DC ,MS,Any,Python;R;SAS;SQL;Hive;Hadoop,Git;Interpersonal Skills;Communication Skills;cross functional,6
Accenture,Data Scientist Specialist,Technical Solutions,San Diego CA,MS;PhD,Data science;business analytics,MapReduce;Hadoop;Hive;Spark;Flink,Communication Skills,1
Accenture,Federal - Data Scientist ++,Technical Solutions,Arlington VA ,MS,Computer Science;Engineering discipline;Physics;Applied Mathematics;Economics,Python;R;SQL;Java;Spark;Hadoop;Hive;C++,Communication Skills;presentation skills,3
Accenture,Federal - Data Scientist,Technical Solutions,Alexandria VA ,MS,Computer Science;Engineering discipline;Physics;Applied Mathematics;Economics,R;Python;SAS;Java;C;Hadoop,Communication Skills;presentation skills,3
Accenture,Federal - Cyber Data Scientist,Technical Solutions,Arlington VA ,MS,Data science;business analytics,Machine Learning ;Artificial Intelligence;neural networks;statistical modeling;mathematics,data analytics,3
Accenture,Federal -Experienced Data Scientist - SI,Technical Solutions,Washington DC ,MS,Computer Science;Engineering discipline;Physics;Applied Mathematics;Economics,statistical modeling;Machine Learning;Python;R;SAS;SQL;Hive;Hadoop,data analytics;data collection;research,4
Accenture,Federal - Senior Data Scientist,Technical Solutions,Arlington VA ,BS,electrical engineering;Computer Science,Python;Matlab;R;C;C++;Java,OpenGL;GPGPU;AWS;Google Cloud;Azure,2
Accenture,Healthcare Payer Data Scientist Consultant,Technical Solutions,Portland OR,MS;PhD,Applied Mathematics,SAS;Python;SPSS;R;SQL;Perl,Cerner EMR;Apache Spark;MapReduce;MongoDB;Couchbase,2
Accenture,Federal - Senior Data Scientist,Technical Solutions,Arlington VA ,BS,electrical engineering;Computer Science,Python;Matlab;R;C;C++;Java,Anaconda;Docker;Jupyter;Git,1
Accenture,Federal - Cyber Data Scientist,Technical Solutions,Arlington VA,BS,electrical engineering;Computer Science,Python;Matlab;R;C;C++;Java,Anaconda;Docker;Jupyter;Git,1
